FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,WIFI_HOLD_AT,PET_POSBL_AT,PRKPLCE_EXST_AT,MEE_SLT_AT,LAST_UPDT_DE
이정아탁구장,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,735-4 번지,동일로217가길,31,37.65315859,127.0586288,1762,서울특별시 노원구 동일로217가길 31,서울특별시 노원구 상계동 735-4 청화빌딩,029340040,,N,N,N,N,20221104
S스크린골프 노원구점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,725-4 번지,동일로218길,41,37.65417652,127.0631827,1751,서울특별시 노원구 동일로218길 41,서울특별시 노원구 상계동 725-4 영보빌딩,029315479,,Y,N,Y,Y,20221104
S스크린골프 노원구점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,725-4 번지,동일로218길,41,37.65417652,127.0631827,1751,서울특별시 노원구 동일로218길 41,서울특별시 노원구 상계동 725-4 영보빌딩,029315479,,N,N,N,N,20221104
상계근린공원 배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,노원구,상계동,,620-1 번지,동일로227길,106,37.66943924,127.0504402,1618,서울특별시 노원구 동일로227길 106,서울특별시 노원구 상계동 620-1 북카페,,,N,Y,Y,Y,20221104
상계근린공원 배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,노원구,상계동,,620-1 번지,동일로227길,106,37.66943924,127.0504402,1618,서울특별시 노원구 동일로227길 106,서울특별시 노원구 상계동 620-1 북카페,,,N,N,N,N,20221104
갈말근린공원 배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,노원구,상계동,,656 번지,동일로227길,85,37.66649572,127.0523447,1619,서울특별시 노원구 동일로227길 85,서울특별시 노원구 상계동 656 상계주공11단지아파트,,,N,Y,Y,Y,20221104
갈말근린공원 배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,노원구,상계동,,656 번지,동일로227길,85,37.66649572,127.0523447,1619,서울특별시 노원구 동일로227길 85,서울특별시 노원구 상계동 656 상계주공11단지아파트,,,N,N,N,N,20221104
월드 스크린골프연습장,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1019-22 번지,동일로232길,11,37.67282029,127.0565162,1630,서울특별시 노원구 동일로232길 11,서울특별시 노원구 상계동 1019-22,0229360782,,Y,N,Y,Y,20221104
월드 스크린골프연습장,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1019-22 번지,동일로232길,11,37.67282029,127.0565162,1630,서울특별시 노원구 동일로232길 11,서울특별시 노원구 상계동 1019-22,0229360782,,N,N,N,N,20221104
이글스크린골프존,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1019-28 번지,동일로234길,27,37.67346265,127.0571579,1629,서울특별시 노원구 동일로234길 27,서울특별시 노원구 상계동 1019-28,0260131818,,Y,N,Y,Y,20221104
이글스크린골프존,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1019-28 번지,동일로234길,27,37.67346265,127.0571579,1629,서울특별시 노원구 동일로234길 27,서울특별시 노원구 상계동 1019-28,0260131818,,N,N,N,N,20221104
볼더클라이밍짐,레저/체육/공원,지역체육시설,클라이밍,서울특별시,노원구,상계동,,1110 번지,동일로241길,53,37.6780171,127.0529135,1606,서울특별시 노원구 동일로241길 53,서울특별시 노원구 상계동 1110 두산아파트,07046963270,http://cafe.daum.net/boulder-climbinggym/,Y,N,Y,N,20221104
볼더클라이밍짐,레저/체육/공원,지역체육시설,클라이밍,서울특별시,노원구,상계동,,1110 번지,동일로241길,53,37.6780171,127.0529135,1606,서울특별시 노원구 동일로241길 53,서울특별시 노원구 상계동 1110 두산아파트,07046963270,http://cafe.daum.net/boulder-climbinggym/,N,N,N,N,20221104
SN스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1117-16 번지,동일로242가길,22,37.67681141,127.0560287,1625,서울특별시 노원구 동일로242가길 22,서울특별시 노원구 상계동 1117-16,0233927800,,Y,N,Y,Y,20221104
SN스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1117-16 번지,동일로242가길,22,37.67681141,127.0560287,1625,서울특별시 노원구 동일로242가길 22,서울특별시 노원구 상계동 1117-16,0233927800,,N,N,N,N,20221104
수락탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,1272 번지,동일로242길,95,37.67538711,127.0597813,1626,서울특별시 노원구 동일로242길 95,서울특별시 노원구 상계동 1272 수락현대아파트,029355174,,Y,N,Y,N,20221104
수락탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,1272 번지,동일로242길,95,37.67538711,127.0597813,1626,서울특별시 노원구 동일로242길 95,서울특별시 노원구 상계동 1272 수락현대아파트,029355174,,N,N,N,N,20221104
데일리테니스,레저/체육/공원,지역체육시설,테니스장,서울특별시,노원구,상계동,,1120-40 번지,동일로242나길,8,37.67602757,127.0563919,1626,서울특별시 노원구 동일로242나길 8,서울특별시 노원구 상계동 1120-40,05021933296,,N,Y,Y,Y,20221104
데일리테니스,레저/체육/공원,지역체육시설,테니스장,서울특별시,노원구,상계동,,1120-40 번지,동일로242나길,8,37.67602757,127.0563919,1626,서울특별시 노원구 동일로242나길 8,서울특별시 노원구 상계동 1120-40,05021933296,,N,N,N,N,20221104
은빛테니스장,레저/체육/공원,지역체육시설,테니스장,서울특별시,노원구,상계동,,1255 번지,동일로245길,162,37.68082342,127.0542201,1603,서울특별시 노원구 동일로245길 162,서울특별시 노원구 상계동 1255 은빛1단지아파트,,,N,Y,Y,Y,20221104
