NAME,TYPE,LOCATION,TAG,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,LAT,LON
코어스트롱휘트니스,헬스/휘트니스,서울특별시 중랑구 신내동 신내로,스트레스 해소; 감정 자극,,,,,,,,,,,37.6170231,127.0920103
F45교대,헬스/휘트니스,서울특별시 서초구 서초동 서초대로51길,스트레스 해소; 감정 자극,,,,,,,,,,,,
슬림앤핏11PT,헬스/휘트니스,서울특별시 강서구 화곡동 화곡로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5421164,126.8424938
EMS바디발전소,헬스/휘트니스,서울특별시 구로구 구로동 디지털로33길,스트레스 해소; 감정 자극,,,,,,,,,,,,
우원지에스,헬스/휘트니스,서울특별시 중랑구 신내동 신내역로,스트레스 해소; 감정 자극,,,,,,,,,,,,
에펠짐,헬스/휘트니스,서울특별시 금천구 독산동 시흥대로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4669034,126.8978902
브이알엠피코리아,N,서울특별시 송파구 잠실동 올림픽로,,,,,,,,,,,,37.5115211,127.0757714
키즈노리방방,N,서울특별시 노원구 공릉동 공릉로46길,,,,,,,,,,,,37.6275126,127.0821299
짐포레스트,헬스/휘트니스,서울특별시 성북구 동소문동1가 성북로2길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5894065,127.0070668
동방짐피트니스,헬스/휘트니스,서울특별시 관악구 신림동 신림로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4739083,126.9335176
프렌즈아카데미,당구장,서울특별시 노원구 상계동 덕릉로,스트레스 해소; 감정 자극,,,,,,,,,,,,
리케어짐,헬스/휘트니스,서울특별시 도봉구 창동 노해로70길,스트레스 해소; 감정 자극,,,,,,,,,,,37.6492084,127.052171
모던골프,N,서울특별시 강남구 도곡동 논현로26길,,,,,,,,,,,,,
주니어핏,헬스/휘트니스,서울특별시 노원구 공릉동 공릉로51길,스트레스 해소; 감정 자극,,,,,,,,,,,,
BB365당구클럽,당구장,서울특별시 서초구 양재동 양재천로23길,스트레스 해소; 감정 자극,,,,,,,,,,,,
바디톡,헬스/휘트니스,서울특별시 중랑구 상봉동 망우로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5960865,127.0842642
스타리버유스포츠,헬스/휘트니스,서울특별시 송파구 신천동 올림픽로35길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5169572,127.1006557
신내헬스,헬스/휘트니스,서울특별시 중랑구 신내동 신내로,스트레스 해소; 감정 자극,,,,,,,,,,,37.6170231,127.0920103
BOBSGYM,헬스/휘트니스,서울특별시 중랑구 상봉동 면목로,스트레스 해소; 감정 자극,,,,,,,,,,,,
뉴온리짐,헬스/휘트니스,서울특별시 중랑구 중화동 동일로129길,스트레스 해소; 감정 자극,,,,,,,,,,,37.599755,127.0772483
JPSTATION,헬스/휘트니스,서울특별시 강남구 신사동 논현로175길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5243354,127.0241612
롤리폴리트렘폴린,N,서울특별시 강서구 화곡동 강서로10길,,,,,,,,,,,,,
유앤아이스포츠,지역실내체육관,서울특별시 서대문구 홍은동 가좌로,에너지 회복; 스트레스 해소,,,,,,,,,,,,
아이스온,스케이트장,서울특별시 강서구 내발산동 공항대로,에너지 회복; 스트레스 해소,,,,,,,,,,,37.5575909,126.842019
제이투짐,헬스/휘트니스,서울특별시 강남구 개포동 개포로,스트레스 해소; 감정 자극,,,,,,,,,,,37.489715,127.0695778
강과땀휘트니스명지대,헬스/휘트니스,서울특별시 서대문구 남가좌동 거북골로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5792393,126.9241486
101퍼센트짐,헬스/휘트니스,서울특별시 동대문구 회기동 경희대로,스트레스 해소; 감정 자극,,,,,,,,,,,37.592625,127.0525263
클럽컬리넌,헬스/휘트니스,서울특별시 동작구 사당동 동작대로25길,스트레스 해소; 감정 자극,,,,,,,,,,,37.4846169,126.9794192
크로우골프,N,서울특별시 동대문구 용두동 왕산로,,,,,,,,,,,,37.5781254,127.037201
라파리메디핏,헬스/휘트니스,서울특별시 강서구 방화동 양천로,스트레스 해소; 감정 자극,,,,,,,,,,,,
노블휘트니스클럽,헬스/휘트니스,서울특별시 강북구 수유동 한천로,스트레스 해소; 감정 자극,,,,,,,,,,,,
카인드짐24시휘트니스,헬스/휘트니스,서울특별시 도봉구 창동 도봉로,스트레스 해소; 감정 자극,,,,,,,,,,,37.6489234,127.0350005
답십리용인대체육관,N,서울특별시 동대문구 답십리동 전농로,,,,,,,,,,,,37.5708035,127.0572058
트루머슬짐,헬스/휘트니스,서울특별시 동작구 상도동 상도로62길,스트레스 해소; 감정 자극,,,,,,,,,,,,
합정당구클럽,당구장,서울특별시 마포구 합정동 양화로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5482807,126.9104886
삼성물산서초사옥휘트니스,헬스/휘트니스,서울특별시 서초구 서초동 서초대로74길,스트레스 해소; 감정 자극,,,,,,,,,,,37.4913209,127.0218781
